"PK","SK","assessmentId","department","entityType","questions"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ALL_006#MCQ_BATCH_1","ASSESS_ALL_006","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""tggrgr""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""f""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""gg""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""g""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""hh""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ALL_007#MCQ_BATCH_1","ASSESS_ALL_007","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""lkjhgfd""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""nm""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""kl""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""io""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""ty""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ALL_008#MCQ_BATCH_1","ASSESS_ALL_008","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""hjcjcvbnhcgvjcfghjfxghxfgh""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""bvncnm""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""nklhilo""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""QWE""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""cvhjc""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ALL_009#MCQ_BATCH_1","ASSESS_ALL_009","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""kavi""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""trdtf""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""gyvcuguyg""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""jvyuv""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""jhvhjb""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CE_001#MCQ_BATCH_1","ASSESS_CE_001","Civil","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""ccjygudl""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""gg""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""jj""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""jj""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""jjh""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CE_002#CODING_BATCH_1","ASSESS_CE_002","Civil","coding_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""Factorial""},""testCases"":{""L"":[{""M"":{""inputs"":{""M"":{""input"":{""S"":""5""}}},""expectedOutput"":{""S"":""120""}}}]},""entityType"":{""S"":""coding""},""starterCode"":{""S"":""#include<stdio.h>""},""subcategory"":{""S"":""technical""},""category"":{""S"":""PROGRAMMING""},""questionNumber"":{""N"":""1""},""points"":{""N"":""50""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_001#MCQ_BATCH_1","ASSESS_CSE_001","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""aewsetdrygy""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""gyk""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""ik""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""8oi""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""io""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_002#CODING_BATCH_1","ASSESS_CSE_002","Computer Science","coding_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_002""},""question"":{""S"":""kkmn""},""testCases"":{""L"":[{""M"":{""inputs"":{""M"":{""input"":{""S"":""ui""}}},""expectedOutput"":{""S"":""ik""}}}]},""entityType"":{""S"":""coding""},""starterCode"":{""S"":""ikjn""},""subcategory"":{""S"":""technical""},""category"":{""S"":""PROGRAMMING""},""questionNumber"":{""N"":""2""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_002#MCQ_BATCH_1","ASSESS_CSE_002","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""hy""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""ik""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""op""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""i""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""op""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_003#CODING_BATCH_1","ASSESS_CSE_003","Computer Science","coding_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_002""},""question"":{""S"":""reverse string in js""},""testCases"":{""L"":[{""M"":{""inputs"":{""M"":{""input"":{""S"":""hello""}}},""expectedOutput"":{""S"":""olleh""}}}]},""entityType"":{""S"":""coding""},""starterCode"":{""S"":""let str = \""hello\"";\nlet reversed = str.split(\""\"").reverse().join(\""\"");\nconsole.log(reversed);  // \n""},""subcategory"":{""S"":""technical""},""category"":{""S"":""PROGRAMMING""},""questionNumber"":{""N"":""2""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_003#MCQ_BATCH_1","ASSESS_CSE_003","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""what is flutter""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""app""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""web""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""both a&b""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""nill""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_004#MCQ_BATCH_1","ASSESS_CSE_004","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""jhbfhufqrub""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""ufeburv""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""rgre""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""rvr""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""rvr""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}},{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_002""},""question"":{""S"":""jmkmklbtmknk""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""44""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""343""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""4343""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""4334""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""2""},""points"":{""N"":""1""}}},{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_003""},""question"":{""S"":""ggt""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""rgeg""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""rggr""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""eggr""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""rggr""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""3""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_005#MCQ_BATCH_1","ASSESS_CSE_005","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""hfbhjfj""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""rrg""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""ff""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""ff""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""ff""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_006#MCQ_BATCH_1","ASSESS_CSE_006","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""htht""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""t""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""g""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""h""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""g""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_007#MCQ_BATCH_1","ASSESS_CSE_007","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""What is Computer""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""Tech""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""Advance""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""Technology""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""Advance""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_008#MCQ_BATCH_1","ASSESS_CSE_008","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""uyfiytf7tf""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""iugyg""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""uygy""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""uygoy""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""goyg""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_009#MCQ_BATCH_1","ASSESS_CSE_009","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""sdfgkjugjhdfsaf""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""dgag""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""dag""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""vbn""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""fyui""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_010#MCQ_BATCH_1","ASSESS_CSE_010","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""rtyuiolkjhgf""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""trtuiu""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""ioio""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""dfdf""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""bnbn""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_011#MCQ_BATCH_1","ASSESS_CSE_011","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""tressdff""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""vtgv""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""hjh""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""uyyuyu""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""uhbu""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_012#MCQ_BATCH_1","ASSESS_CSE_012","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""trhthrhtr""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""gh""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""ggggg""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""ghfgn""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""gfdf""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_013#MCQ_BATCH_1","ASSESS_CSE_013","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""notidi""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""np""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""j""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""nu""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""r""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_014#MCQ_BATCH_1","ASSESS_CSE_014","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""kjnklngr""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""t""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""yt""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""yt""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""hy""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
